"# full pairwise Pearson correlations — 25 sessions, blank = n<8 or constant"
variable,atm_straddle_pts,automobile_lead_pct,bhartiartl_morning_pct,call_wall,call_wall_dist_pts,call_wall_migration_pts,capital_goods_lead_pct,cement_lead_pct,chop_index,condor_kc,condor_kp,condor_pnl,condor_worst,construction_lead_pct,consumer_durables_lead_pct,consumer_services_lead_pct,cov_adj_premium,coverage_ratio,crush_excess_pct,cs_atm_straddle_pts,cs_call_wall_dist_pts,cs_coverage_ratio,cs_oi_std_pts,cs_pcr,cs_pin_share,cs_put_wall_dist_pts,cs_straddle_chg_30m_pct,d_pcr_1d,day_range_pts,day_ret_1000_close_pct,er30,financial_services_lead_pct,fly_pnl,fly_worst,fmcg_lead_pct,hdfcbank_morning_pct,healthcare_lead_pct,icicibank_morning_pct,information_technology_lead_pct,infy_morning_pct,metals_and_mining_lead_pct,next_gap_big,next_gap_pct,oi_std_pts,oil_and_gas_lead_pct,overnight_gap_pct,pcr,pin_share,power_lead_pct,prev_day_ret_pct,put_wall,put_wall_dist_pts,put_wall_migration_pts,reliance_morning_pct,ret_open_to_1000_pct,services_lead_pct,spot,spot_1000,straddle_chg_30m_pct,straddle_exp_close_pct,straddle_pnl,straddle_worst,strangle_pnl,strangle_worst,telecommunication_lead_pct
condor_kp,-0.36,0.03,-0.15,0.73,-0.14,0.37,0.31,0.02,0.49,0.73,1.0,-0.1,0.04,0.11,-0.5,-0.16,-0.08,-0.34,0.38,-0.36,-0.14,-0.34,-0.02,0.11,-0.01,-0.26,-0.07,0.08,0.09,-0.05,-0.35,0.24,0.04,0.09,-0.05,0.22,-0.51,0.27,-0.24,-0.14,0.23,0.24,-0.13,-0.02,0.01,0.53,0.11,-0.01,0.08,0.3,1.0,-0.26,0.74,0.02,0.23,-0.11,0.92,0.92,-0.07,0.33,0.08,0.25,-0.05,0.05,-0.21
condor_pnl,-0.18,-0.22,-0.14,-0.06,0.17,-0.35,0.41,0.02,0.05,-0.06,-0.1,1.0,0.89,-0.54,0.27,0.09,-0.48,0.33,-0.08,-0.18,0.17,0.33,-0.22,0.17,-0.29,-0.22,0.02,0.31,0.01,0.06,0.05,0.22,0.92,0.85,-0.33,-0.01,0.29,0.2,-0.02,-0.03,-0.55,0.05,0.08,-0.22,0.0,-0.29,0.17,-0.29,-0.21,-0.14,-0.1,-0.22,-0.13,0.02,-0.0,-0.02,-0.19,-0.19,0.02,-0.12,0.72,0.64,0.92,0.75,-0.13
condor_worst,-0.15,-0.19,-0.24,0.07,0.24,-0.03,0.41,0.02,-0.03,0.07,0.04,0.89,1.0,-0.59,0.27,0.0,-0.44,0.3,0.09,-0.15,0.24,0.3,-0.16,0.12,-0.24,-0.36,0.02,-0.2,0.14,0.06,0.08,0.25,0.82,0.96,-0.23,-0.11,0.08,0.28,0.09,0.1,-0.46,0.1,0.11,-0.16,0.22,-0.3,0.12,-0.24,-0.07,-0.02,0.04,-0.36,-0.05,0.21,0.01,0.16,-0.11,-0.11,0.02,0.04,0.6,0.61,0.81,0.75,-0.23
construction_lead_pct,0.17,0.13,0.17,-0.12,-0.19,-0.48,0.11,0.11,-0.01,-0.12,0.11,-0.54,-0.59,1.0,0.02,0.02,0.3,-0.37,0.16,-0.18,-0.31,-0.33,0.17,0.02,0.0,-0.03,0.07,0.21,0.07,0.02,0.02,-0.12,-0.31,-0.51,0.1,-0.03,-0.03,0.0,-0.42,-0.4,0.37,-0.15,-0.32,0.32,-0.06,0.1,-0.02,0.07,0.25,-0.15,0.11,0.05,0.1,-0.08,-0.08,0.19,0.1,-0.08,0.28,0.3,-0.16,-0.19,-0.5,-0.53,0.18
consumer_durables_lead_pct,-0.0,-0.18,0.06,-0.66,-0.26,-0.33,0.13,-0.07,-0.14,-0.66,-0.5,0.27,0.27,0.02,1.0,0.07,0.04,-0.03,0.02,-0.11,-0.22,-0.03,-0.3,-0.33,-0.15,-0.17,-0.02,-0.5,-0.06,0.22,0.17,-0.05,0.24,0.29,0.18,-0.18,0.25,-0.25,0.0,-0.05,-0.06,-0.45,-0.04,-0.24,0.05,-0.23,-0.24,0.04,0.03,-0.21,-0.5,0.03,-0.1,-0.11,-0.56,0.38,-0.58,-0.58,-0.1,-0.08,0.12,0.22,0.19,0.2,0.2
consumer_services_lead_pct,-0.19,-0.05,0.45,-0.28,-0.31,-0.36,-0.28,0.28,0.14,-0.28,-0.16,0.09,0.0,0.02,0.07,1.0,-0.0,-0.08,-0.08,-0.03,-0.26,-0.08,0.02,-0.01,0.05,0.13,-0.42,0.01,-0.03,-0.2,-0.26,-0.16,0.17,-0.05,0.0,-0.15,0.34,0.05,0.09,0.15,-0.42,0.01,0.29,-0.18,-0.25,0.15,0.07,0.13,-0.43,-0.15,-0.16,-0.01,0.05,-0.13,0.09,-0.23,-0.11,-0.02,-0.42,-0.28,0.15,0.11,0.02,-0.02,0.4
cov_adj_premium,0.63,0.36,0.06,-0.39,-0.35,-0.13,0.22,0.08,-0.28,-0.39,-0.08,-0.48,-0.44,0.3,0.04,-0.0,1.0,-0.67,0.24,0.62,-0.42,-0.67,-0.05,-0.33,0.55,-0.12,-0.07,-0.23,-0.12,-0.14,0.14,-0.26,-0.34,-0.42,0.22,-0.02,-0.14,-0.21,-0.29,-0.24,-0.03,-0.14,-0.13,0.12,0.17,0.07,-0.28,0.32,0.09,-0.22,-0.08,-0.09,-0.03,0.14,0.03,0.02,-0.13,-0.14,0.2,0.4,-0.18,-0.48,-0.43,-0.7,0.04
coverage_ratio,-0.22,-0.46,-0.19,0.24,0.61,0.21,-0.17,-0.22,-0.19,0.24,-0.34,0.33,0.3,-0.37,-0.03,-0.08,-0.67,1.0,-0.12,-0.25,0.67,1.0,0.02,0.33,-0.26,0.28,0.47,0.17,0.12,0.26,0.3,0.12,0.12,0.2,-0.17,-0.04,0.05,0.01,0.41,0.38,-0.06,0.13,0.13,-0.02,-0.25,-0.34,0.31,-0.19,-0.06,0.19,-0.34,0.26,-0.38,-0.2,0.03,-0.02,-0.23,-0.15,0.19,-0.14,-0.05,0.08,0.22,0.47,-0.19
crush_excess_pct,0.28,-0.27,-0.24,0.17,-0.21,0.21,0.26,0.11,0.05,0.17,0.38,-0.08,0.09,0.16,0.02,-0.08,0.24,-0.12,1.0,-0.02,-0.21,-0.06,0.1,-0.2,0.01,-0.1,-0.14,-0.02,0.39,-0.03,-0.19,0.12,-0.09,0.08,0.3,0.02,-0.17,-0.06,-0.11,-0.1,-0.07,-0.09,0.16,0.2,-0.24,0.25,-0.11,0.19,-0.08,-0.11,0.38,0.1,0.45,-0.27,-0.1,0.01,0.35,0.15,0.08,0.65,-0.17,-0.23,-0.18,-0.23,-0.19
cs_atm_straddle_pts,1.0,0.26,0.08,-0.33,0.11,0.03,-0.24,0.14,-0.29,-0.33,-0.36,-0.18,-0.15,-0.18,-0.11,-0.03,0.62,-0.25,-0.02,1.0,0.11,-0.25,0.41,-0.18,0.25,-0.21,-0.16,-0.03,0.19,-0.52,0.15,-0.11,-0.16,-0.17,0.03,-0.01,0.08,-0.19,-0.04,-0.02,-0.22,-0.07,0.11,0.41,0.12,-0.32,-0.18,0.25,-0.15,-0.52,-0.36,-0.21,-0.6,0.16,0.06,0.07,-0.45,-0.45,-0.16,0.14,0.04,-0.59,0.02,-0.53,0.06
cs_call_wall_dist_pts,0.11,-0.14,-0.34,0.49,1.0,0.65,-0.25,-0.42,-0.44,0.49,-0.14,0.17,0.24,-0.31,-0.22,-0.26,-0.42,0.67,-0.21,0.11,1.0,0.67,0.34,0.14,-0.11,-0.16,0.38,0.13,0.16,0.07,0.28,0.04,0.01,0.18,-0.15,-0.07,0.02,-0.02,0.54,0.53,0.11,0.43,0.14,0.34,0.05,-0.38,0.14,-0.11,0.01,0.22,-0.14,-0.16,-0.24,0.04,0.07,-0.05,-0.21,-0.21,0.38,-0.17,-0.06,-0.1,0.22,0.27,-0.34
cs_coverage_ratio,-0.25,-0.54,-0.32,0.24,0.67,0.2,-0.21,-0.32,-0.38,0.24,-0.34,0.33,0.3,-0.33,-0.03,-0.08,-0.67,1.0,-0.06,-0.25,0.67,1.0,0.01,0.33,-0.26,0.28,0.48,0.17,0.13,0.29,0.36,0.13,0.12,0.2,-0.14,0.02,0.14,0.03,0.58,0.54,-0.14,0.15,0.22,0.01,-0.24,-0.35,0.33,-0.26,-0.11,0.21,-0.34,0.28,-0.38,-0.18,0.1,-0.04,-0.24,-0.24,0.48,-0.09,-0.04,0.08,0.22,0.48,-0.33
cs_oi_std_pts,0.41,-0.02,0.14,0.18,0.34,0.19,0.01,0.28,-0.23,0.18,-0.02,-0.22,-0.16,0.17,-0.3,0.02,-0.05,0.02,0.1,0.41,0.34,0.01,1.0,0.29,-0.39,-0.11,-0.23,0.34,0.67,-0.71,0.02,0.3,-0.15,-0.07,-0.35,0.31,0.28,0.28,-0.15,-0.12,0.38,0.09,0.21,1.0,-0.17,-0.21,0.29,-0.39,-0.06,-0.25,-0.02,-0.11,-0.33,-0.09,0.12,0.23,-0.06,-0.06,-0.23,0.18,-0.07,-0.5,-0.1,-0.45,0.09
cs_pcr,-0.18,-0.15,-0.09,0.28,0.14,-0.16,0.45,0.4,-0.33,0.28,0.11,0.17,0.12,0.02,-0.33,-0.01,-0.33,0.33,-0.2,-0.18,0.14,0.33,0.29,1.0,-0.35,0.23,0.28,0.67,0.12,-0.2,0.44,0.58,0.28,0.2,-0.56,0.52,0.01,0.66,-0.37,-0.28,0.07,-0.14,-0.17,0.29,-0.11,-0.14,1.0,-0.35,-0.11,0.1,0.11,0.23,-0.21,0.13,0.63,0.35,0.2,0.2,0.28,-0.23,0.29,0.25,0.12,0.2,-0.25
cs_pin_share,0.25,0.36,0.08,-0.12,-0.11,0.28,-0.51,-0.28,-0.02,-0.12,-0.01,-0.29,-0.24,0.0,-0.15,0.05,0.55,-0.26,0.01,0.25,-0.11,-0.26,-0.39,-0.35,1.0,-0.11,-0.11,0.15,-0.49,0.31,-0.08,-0.24,-0.35,-0.36,0.27,-0.26,-0.46,-0.1,0.17,0.22,-0.13,0.09,-0.26,-0.39,0.27,0.02,-0.35,1.0,0.03,0.07,-0.01,-0.11,0.05,0.27,0.18,-0.38,-0.05,-0.05,-0.11,0.03,-0.26,-0.25,-0.31,-0.23,0.03
cs_put_wall_dist_pts,-0.21,-0.32,0.23,0.01,-0.16,-0.26,0.05,0.2,0.09,0.01,-0.26,-0.22,-0.36,-0.03,-0.17,0.13,-0.12,0.28,-0.1,-0.21,-0.16,0.28,-0.11,0.23,-0.11,1.0,0.05,0.24,-0.16,0.09,-0.12,-0.13,-0.29,-0.33,-0.01,0.05,0.32,-0.08,-0.08,-0.26,0.17,-0.07,0.23,-0.11,-0.18,0.06,0.23,-0.11,0.19,0.37,-0.26,1.0,-0.34,-0.21,-0.07,-0.17,0.14,0.14,0.05,-0.11,-0.31,-0.04,-0.35,-0.03,0.24
cs_straddle_chg_30m_pct,-0.16,-0.08,-0.39,0.21,0.38,0.1,-0.06,-0.42,-0.54,0.21,-0.07,0.02,0.02,0.07,-0.02,-0.42,-0.07,0.47,-0.14,-0.16,0.38,0.48,-0.23,0.28,-0.11,0.05,1.0,0.15,-0.1,0.38,0.68,-0.14,0.03,0.02,0.07,0.02,-0.4,-0.29,0.28,0.28,-0.06,-0.07,-0.32,-0.23,0.02,-0.37,0.28,-0.11,0.21,0.38,-0.07,0.05,-0.22,-0.0,0.02,0.15,-0.05,-0.05,1.0,-0.19,-0.01,0.04,-0.03,0.15,-0.37
d_pcr_1d,-0.03,-0.08,-0.07,0.26,0.13,-0.04,0.25,0.19,-0.21,0.26,0.08,0.31,-0.2,0.21,-0.5,0.01,-0.23,0.17,-0.02,-0.03,0.13,0.17,0.34,0.67,0.15,0.24,0.15,1.0,0.04,-0.14,0.23,0.3,0.37,0.01,-0.46,0.23,-0.03,0.48,-0.35,-0.35,-0.05,0.05,-0.42,0.34,-0.21,-0.18,0.67,0.15,-0.02,0.05,0.08,0.24,-0.09,-0.05,0.57,-0.18,0.17,0.17,0.15,-0.02,0.41,0.06,0.28,-0.12,-0.21
day_range_pts,0.25,-0.39,-0.08,0.13,0.12,-0.31,0.14,0.01,-0.07,0.13,0.09,0.01,0.14,0.07,-0.06,-0.03,-0.12,0.12,0.39,0.19,0.16,0.13,0.67,0.12,-0.49,-0.16,-0.1,0.04,1.0,-0.53,0.0,0.25,0.05,0.18,-0.35,0.08,0.18,0.14,0.02,0.03,0.05,-0.09,0.1,0.6,-0.21,-0.21,0.1,-0.32,0.12,-0.3,0.09,-0.03,-0.38,-0.19,-0.11,0.21,0.03,0.05,0.05,0.31,0.14,-0.28,0.16,-0.19,-0.04
day_ret_1000_close_pct,-0.2,0.04,-0.2,0.03,0.14,0.35,-0.05,-0.29,-0.04,0.03,-0.05,0.06,0.06,0.02,0.22,-0.2,-0.14,0.26,-0.03,-0.52,0.07,0.29,-0.71,-0.2,0.31,0.09,0.38,-0.14,-0.53,1.0,0.15,0.03,-0.1,-0.06,0.5,-0.0,-0.43,0.0,0.1,0.06,-0.12,0.09,-0.03,-0.48,0.27,0.18,-0.28,0.24,-0.0,0.23,-0.05,0.13,0.25,0.23,0.04,-0.16,-0.02,-0.09,0.35,0.09,-0.32,0.31,-0.15,0.46,-0.2
er30,0.08,-0.08,-0.26,-0.18,0.23,-0.01,0.13,-0.05,-0.76,-0.18,-0.35,0.05,0.08,0.02,0.17,-0.26,0.14,0.3,-0.19,0.15,0.28,0.36,0.02,0.44,-0.08,-0.12,0.68,0.23,0.0,0.15,1.0,0.11,0.11,0.11,-0.07,0.19,-0.23,0.17,0.02,0.1,0.02,-0.26,-0.33,0.03,0.09,-0.38,0.32,-0.24,0.09,-0.1,-0.35,-0.19,-0.33,0.22,0.31,0.47,-0.41,-0.25,0.35,-0.06,0.1,-0.03,0.01,-0.01,-0.32
financial_services_lead_pct,-0.01,-0.11,-0.31,0.2,0.16,0.14,0.25,0.35,0.09,0.2,0.24,0.22,0.25,-0.12,-0.05,-0.16,-0.26,0.12,0.12,-0.11,0.04,0.13,0.3,0.58,-0.24,-0.13,-0.14,0.3,0.25,0.03,0.11,1.0,0.24,0.28,-0.31,0.7,-0.29,0.72,-0.19,-0.1,-0.01,-0.25,0.04,0.32,-0.05,0.17,0.43,-0.16,-0.35,-0.25,0.24,-0.06,0.12,0.13,0.41,0.39,0.19,0.13,0.15,0.22,0.2,0.19,0.2,0.25,-0.39
fly_pnl,-0.16,-0.2,0.02,-0.06,0.01,-0.64,0.56,0.22,0.07,-0.06,0.04,0.92,0.82,-0.31,0.24,0.17,-0.34,0.12,-0.09,-0.16,0.01,0.12,-0.15,0.28,-0.35,-0.29,0.03,0.37,0.05,-0.1,0.11,0.24,1.0,0.85,-0.42,0.04,0.25,0.3,-0.3,-0.26,-0.44,-0.1,-0.09,-0.15,0.01,-0.25,0.28,-0.35,-0.13,-0.19,0.04,-0.29,-0.03,0.05,0.02,0.17,-0.07,-0.07,0.03,-0.14,0.88,0.7,0.88,0.61,0.01
fly_worst,-0.17,-0.19,-0.25,0.09,0.18,-0.45,0.58,0.16,-0.05,0.09,0.09,0.85,0.96,-0.51,0.29,-0.05,-0.42,0.2,0.08,-0.17,0.18,0.2,-0.07,0.2,-0.36,-0.33,0.02,0.01,0.18,-0.06,0.11,0.28,0.85,1.0,-0.31,-0.09,0.11,0.32,-0.05,-0.06,-0.29,0.01,-0.0,-0.07,0.19,-0.27,0.2,-0.36,0.02,0.02,0.09,-0.33,0.23,0.16,-0.04,0.31,-0.04,-0.04,0.02,0.04,0.66,0.65,0.79,0.68,-0.22
fmcg_lead_pct,-0.13,0.08,-0.01,-0.15,-0.17,0.23,-0.27,-0.15,-0.01,-0.15,-0.05,-0.33,-0.23,0.1,0.18,0.0,0.22,-0.17,0.3,0.03,-0.15,-0.14,-0.35,-0.56,0.27,-0.01,0.07,-0.46,-0.35,0.5,-0.07,-0.31,-0.42,-0.31,1.0,-0.08,-0.17,-0.34,0.16,0.08,-0.22,0.07,0.29,-0.36,0.31,0.21,-0.44,0.22,-0.13,-0.01,-0.05,-0.12,0.17,0.25,-0.05,-0.17,-0.06,-0.11,-0.17,-0.02,-0.55,-0.16,-0.45,-0.11,0.0
hdfcbank_morning_pct,-0.08,-0.06,-0.02,0.18,0.02,0.12,0.13,0.08,-0.09,0.18,0.22,-0.01,-0.11,-0.03,-0.18,-0.15,-0.02,-0.04,0.02,-0.01,-0.07,0.02,0.31,0.52,-0.26,0.05,0.02,0.23,0.08,-0.0,0.19,0.7,0.04,-0.09,-0.08,1.0,-0.21,0.46,-0.25,-0.22,0.03,-0.23,0.24,0.28,-0.03,0.14,0.32,-0.31,-0.35,-0.22,0.22,-0.18,0.14,0.2,0.51,0.11,0.25,0.15,0.04,0.06,0.02,-0.08,-0.06,-0.05,-0.15
healthcare_lead_pct,0.06,-0.37,0.46,-0.34,-0.17,-0.56,0.13,0.01,-0.02,-0.34,-0.51,0.29,0.08,-0.03,0.25,0.34,-0.14,0.05,-0.17,0.08,0.02,0.14,0.28,0.01,-0.46,0.32,-0.4,-0.03,0.18,-0.43,-0.23,-0.29,0.25,0.11,-0.17,-0.21,1.0,-0.15,-0.1,-0.19,-0.02,0.01,0.31,0.12,-0.07,-0.31,0.13,-0.19,0.15,-0.2,-0.51,0.18,-0.53,-0.14,-0.32,-0.14,-0.39,-0.31,-0.43,-0.25,0.23,0.09,0.35,0.13,0.51
icicibank_morning_pct,-0.06,-0.03,-0.02,0.2,0.05,-0.11,0.21,0.45,-0.13,0.2,0.27,0.2,0.28,0.0,-0.25,0.05,-0.21,0.01,-0.06,-0.19,-0.02,0.03,0.28,0.66,-0.1,-0.08,-0.29,0.48,0.14,0.0,0.17,0.72,0.3,0.32,-0.34,0.46,-0.15,1.0,-0.31,-0.19,0.03,-0.09,-0.02,0.25,0.24,0.17,0.42,-0.13,-0.11,-0.13,0.27,-0.12,0.02,0.47,0.65,0.31,0.24,0.22,0.04,0.1,0.26,0.38,0.14,0.28,-0.19
information_technology_lead_pct,-0.42,-0.07,-0.42,0.11,0.31,0.49,-0.7,-0.46,-0.08,0.11,-0.24,-0.02,0.09,-0.42,0.0,0.09,-0.29,0.41,-0.11,-0.04,0.54,0.58,-0.15,-0.37,0.17,-0.08,0.28,-0.35,0.02,0.1,0.02,-0.19,-0.3,-0.05,0.16,-0.25,-0.1,-0.31,1.0,0.96,-0.31,0.2,0.17,-0.38,-0.2,-0.12,-0.16,0.04,-0.32,0.38,-0.24,-0.34,-0.04,-0.21,-0.05,-0.25,-0.28,0.01,-0.2,-0.39,-0.37,-0.28,-0.01,0.16,-0.38
infy_morning_pct,-0.38,-0.02,-0.45,0.13,0.29,0.53,-0.64,-0.35,-0.09,0.13,-0.14,-0.03,0.1,-0.4,-0.05,0.15,-0.24,0.38,-0.1,-0.02,0.53,0.54,-0.12,-0.28,0.22,-0.26,0.28,-0.35,0.03,0.06,0.1,-0.1,-0.26,-0.06,0.08,-0.22,-0.19,-0.19,0.96,1.0,-0.33,0.18,0.08,-0.35,-0.25,-0.04,-0.09,0.03,-0.38,0.29,-0.14,-0.4,0.06,-0.21,0.07,-0.18,-0.25,0.1,-0.15,-0.34,-0.33,-0.29,-0.02,0.12,-0.43
metals_and_mining_lead_pct,0.0,-0.05,0.18,0.34,0.14,0.3,0.29,0.0,0.01,0.34,0.23,-0.55,-0.46,0.37,-0.06,-0.42,-0.03,-0.06,-0.07,-0.22,0.11,-0.14,0.38,0.07,-0.13,0.17,-0.06,-0.05,0.05,-0.12,0.02,-0.01,-0.44,-0.29,-0.22,0.03,-0.02,0.03,-0.31,-0.33,1.0,-0.03,-0.27,0.44,0.03,0.06,0.02,-0.23,0.59,0.23,0.23,0.2,0.25,-0.1,-0.23,0.3,0.3,0.19,0.08,0.1,-0.36,-0.19,-0.51,-0.37,0.23
next_gap_big,-0.0,0.41,-0.1,0.47,0.42,0.5,-0.14,-0.2,0.15,0.47,0.24,0.05,0.1,-0.15,-0.45,0.01,-0.14,0.13,-0.09,-0.07,0.43,0.15,0.09,-0.14,0.09,-0.07,-0.07,0.05,-0.09,0.09,-0.26,-0.25,-0.1,0.01,0.07,-0.23,0.01,-0.09,0.2,0.18,-0.03,1.0,0.43,0.11,0.04,-0.04,-0.16,0.04,0.02,0.31,0.24,-0.06,0.24,-0.01,0.09,-0.61,0.21,0.18,0.03,0.04,-0.32,-0.12,0.03,0.15,-0.12
