CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,802,467,"2,759",64.03,0.65,0.10,"1,755",0.50,0.65,195,"26,350.00",780,"2,283.50","2,522.10",780,-,-,29.41,-,-,1,
,"1,347",-8,"11,539",66.22,0.65,0.05,"4,290",0.60,0.65,"3,380","26,400.00",845,"2,303.70","2,483.80",780,146.25,"2,436.25",-,132,-103,46,
,426,98,"1,442",65.74,0.50,-,"1,690",0.50,0.60,"10,010","26,450.00",780,"2,411.30","2,550.10",780,-20.35,"2,499.40",81.02,3,-1,2,
,"12,995","-4,951","36,068",66.87,0.65,0.20,"8,775",0.55,0.65,"1,300","26,500.00",65,"2,531.70","2,539.15",65,131.60,"2,540.00",-,"2,557",-108,"5,945",
,"2,028",-227,"7,890",68.00,0.50,0.05,"1,820",0.45,0.50,"2,860","26,550.00","1,690","2,300.00","2,653.10",780,-,-,55.25,-,-,5,
,"50,399",494,"42,422",79.27,0.60,0.15,"55,835",0.55,0.60,"61,490","27,000.00",65,"3,036.65","3,040.75",65,130.50,"3,040.00",-,"9,961","-3,942","35,572",
,"25,789",568,"36,456",99.16,0.50,0.10,"67,730",0.50,0.55,"9,880","28,000.00",65,"4,031.70","4,043.90",65,133.05,"4,044.35",-,"8,267","-3,281","11,674",
,"1,331",148,"3,795",106.15,0.50,0.15,130,0.45,0.50,"2,015","28,500.00",780,"4,475.35","4,540.55",130,115.90,"4,540.90",184.03,108,-101,24,
,"3,071",-182,"6,647",115.80,0.30,-,"1,885",0.40,0.45,"2,275","29,000.00",65,"5,032.55","5,048.30",650,148.40,"5,055.00",163.06,"1,512",-474,"1,866",
,"3,381",-388,"5,436",132.84,0.30,-,"17,680",0.30,0.35,"14,430","30,000.00",195,"6,039.20","6,050.30",130,147.15,"6,060.00",198.72,862,-564,"1,374",
,"1,709",-400,"2,795",150.45,0.70,0.35,195,0.55,0.70,"3,055","31,000.00",-,-,-,-,-,-,-,-,-,-,
,342,-47,"1,117",163.95,0.20,-0.10,"4,485",0.20,0.40,260,"31,500.00","1,690","7,088.80","7,730.10","1,690",-,-,-,-,-,-,
,670,-47,"1,161",181.15,0.25,-0.05,"3,510",0.20,0.25,390,"33,000.00","1,690","8,350.90","9,140.40",65,28.60,"9,078.60",301.31,11,-3,10,
,413,-52,344,214.64,0.50,0.15,455,0.25,0.45,"10,595","34,500.00",-,-,"10,890.60","1,690",-,-,84.56,-,-,2,
